ID,BookID,Genre,SeriesID,Volume Number,Staff Comment
29,NL209,Fiction,,,Beloved author Charles Fenimore strikes out in a new direction with his first graphic novel. In this devestating tale of daring ingenuity and just a dash of  luck Fenimore dmonstrates his genius for combining visual flare and cutting prose. Uchon's mechanical contraption to tame lightning brings its own threats to her tinder-box community stricken by wildfires. Will Uchon's luck run out on the eve of the biggest lightning storm to threaten the sleepy town of Delanro in decades? 
30,NB483,Fiction,MT-ESP,2,"""I never thought I'd enjoy a trashy light chick-lit series. But here I am and Green is rapidly becoming my favorite author!"""
31,NC652,Nonfiction,,,"When his wife set out to write her magnum opus cookbook food critic Stackhouse thought the hardest part would be making sure he didn't outgrow his favorite slacks. He never expected that amidst the thyme and roux and cleavers their relationship would be tried tested and ultimately perfected. Tastefully seasoned with the recipes that brought them to the brink ""Nothing But Capers"" follows the tumult that strained then saved his marriage and his life. "
32,PP866,SciFi/Fantasy,MM-ESP,2,No one saw it coming. No one could escape the effects. No one could imagine what would come next. 
33,PA169,Fiction,,,
34,QQ737,Young Adult,,,Debut novel from Jill Hergesheimer
35,RR774,SciFi/Fantasy,MM-ESP,3,The triumphant tragic unimaginable third installment in the Mallemaroking saga
36,SE355,Romance,EL-SSC,6,Book Six of Esme's Ladies
37,SS693,Nonfiction,,,Long-winded talkers waste time for themselves and those who listen. When you have something to say get to the point. Say it with Snap! 
38,ST862,SciFi/Fantasy,,,
39,ST303,SciFi/Fantasy,,,
40,SS361,Fiction,,,
41,TC401,SciFi/Fantasy,,,
42,TC188,Fiction,,,
43,TH143,Nonfiction,,,
44,TP887,Fiction,,,
45,TM925,SciFi/Fantasy,MM-ESP,1,An epic on the scale of Game of Thrones and The Lord of the Rings. The Mallemaroking is a book that cannot be defined only experienced. 
46,TO369,Romance,EL-SSC,4,Book Four of Esme's Ladies
47,TS869,Romance,EL-SSC,1,Book One of Esme's Ladies
48,TA182,Young Adult,,,
49,TH556,Fiction,,,Mr. Hidoo with his kind smile and perpetual silence is easy to overlook. Until he turns up dead. 
50,TI225,Fiction,MT-ESP,1,"""The thing is 'The Thing Is' is exactly what you need. Don't believe me? Give it a try."""
51,TT773,SciFi/Fantasy,,,
52,TH296,Mystery,IR-ESP,2,
53,TT359,Fiction,AT-ESP,1,
54,WO506,Memoir,,,"""Only a sister knows the difference between a strangle and a hug"""
55,WG715,Romance,EL-SSC,3,Book Three of Esme's Ladies
56,WK456,Memoir,,,"Antrim's ability to make you laugh through your tears has never been stronger than in his memoirs. Diagnosed with terminal cancer at 38 Antrim reflects back on his life with the grace and wisdom of a man twice his age. ""Who Did You Think You Were Kidding"" reminds us that even on a sad path toward a death far too soon the journey is what matters. "
57,ZT703,Mystery,,,
58,DG384,Fiction,,,The most anticipated release of the coming year!
