Checkout_ID,ISBN,CheckoutMonth,NumberCheckouts
116,989-28-3705-775-0,10,13
117,989-28-3705-583-1,11,16
118,989-28-3705-775-0,11,15
119,989-28-3705-583-1,12,16
120,989-28-3705-775-0,12,13
121,989-28-3705-138-3,9,28
122,989-28-3705-369-1,9,23
123,989-28-3705-138-3,10,20
124,989-28-3705-369-1,10,25
125,989-28-3705-138-3,1,20
126,989-28-3705-369-1,1,24
127,989-28-3705-138-3,2,20
128,989-28-3705-369-1,2,25
129,989-28-3705-138-3,8,17
130,989-28-3705-369-1,8,21
131,989-28-3705-138-3,5,20
132,989-28-3705-369-1,5,18
133,989-28-3705-138-3,11,20
134,989-28-3705-369-1,11,20
135,989-28-3705-138-3,3,23
136,989-28-3705-369-1,3,21
137,989-28-3705-138-3,12,21
138,989-28-3705-369-1,12,21
139,989-28-3705-138-3,4,19
140,989-28-3705-369-1,4,17
141,989-28-3705-138-3,7,16
142,989-28-3705-369-1,7,21
143,989-28-3705-138-3,6,12
144,989-28-3705-369-1,6,14
145,989-28-3705-649-4,7,16
146,989-28-3705-136-9,7,16
147,989-28-3705-649-4,9,14
148,989-28-3705-136-9,9,10
149,989-28-3705-649-4,6,11
150,989-28-3705-136-9,6,13
151,989-28-3705-649-4,10,9
152,989-28-3705-136-9,10,13
153,989-28-3705-649-4,8,8
154,989-28-3705-136-9,8,9
155,989-28-3705-649-4,11,10
156,989-28-3705-136-9,11,11
157,989-28-3705-649-4,1,9
158,989-28-3705-136-9,1,7
159,989-28-3705-649-4,5,8
160,989-28-3705-136-9,5,7
161,989-28-3705-649-4,3,7
162,989-28-3705-136-9,3,7
163,989-28-3705-649-4,4,6
164,989-28-3705-136-9,4,9
165,989-28-3705-649-4,2,6
166,989-28-3705-136-9,2,8
167,989-28-3705-649-4,12,6
168,989-28-3705-136-9,12,5
169,989-28-229-9769-6,2,44
170,989-28-229-9769-6,3,41
171,989-28-229-9769-6,4,27
172,989-28-229-9769-6,6,17
173,989-28-229-9769-6,7,14
174,989-28-229-9769-6,5,20
175,989-28-229-9769-6,8,15
176,989-28-229-9769-6,10,11
177,989-28-229-9769-6,9,11
178,989-28-229-9769-6,11,10
179,989-28-229-9769-6,12,9
180,989-28-229-9769-6,1,7
181,989-28-79-23015-9,3,10
182,989-28-3705-492-6,3,9
183,989-28-79-23015-9,10,11
184,989-28-3705-492-6,10,9
185,989-28-79-23015-9,8,9
186,989-28-3705-492-6,8,11
187,989-28-79-23015-9,9,12
188,989-28-3705-492-6,9,12
189,989-28-79-23015-9,12,9
190,989-28-3705-492-6,12,10
191,989-28-79-23015-9,1,7
192,989-28-3705-492-6,1,10
193,989-28-79-23015-9,6,8
194,989-28-3705-492-6,6,9
195,989-28-79-23015-9,7,7
196,989-28-3705-492-6,7,7
197,989-28-79-23015-9,11,7
198,989-28-3705-492-6,11,8
199,989-28-79-23015-9,2,8
200,989-28-3705-492-6,2,8
201,989-28-79-23015-9,5,7
202,989-28-3705-492-6,5,8
203,989-28-79-23015-9,4,6
204,989-28-3705-492-6,4,4
205,989-28-79-69359-6,7,9
206,989-28-79-55824-6,7,12
207,989-28-79-69359-6,1,10
208,989-28-79-55824-6,1,10
209,989-28-79-69359-6,5,8
210,989-28-79-55824-6,5,8
211,989-28-79-69359-6,4,7
212,989-28-79-55824-6,4,5
213,989-28-79-69359-6,6,7
214,989-28-79-55824-6,6,5
215,989-28-79-69359-6,8,6
216,989-28-79-55824-6,8,8
217,989-28-79-69359-6,9,7
218,989-28-79-55824-6,9,5
219,989-28-79-69359-6,11,7
220,989-28-79-55824-6,11,7
221,989-28-79-69359-6,3,5
222,989-28-79-55824-6,3,6
223,989-28-79-69359-6,10,5
224,989-28-79-55824-6,10,5
225,989-28-79-69359-6,12,5
226,989-28-79-55824-6,12,4
227,989-28-79-69359-6,2,3
228,989-28-79-55824-6,2,2
229,989-28-654-9826-6,11,12
230,989-28-654-4370-9,11,8
231,989-28-654-9826-6,1,11
232,989-28-654-4370-9,1,8
233,989-28-654-9826-6,10,9
234,989-28-654-4370-9,10,8
235,989-28-654-9826-6,2,9
236,989-28-654-4370-9,2,10
237,989-28-654-9826-6,3,7
238,989-28-654-4370-9,3,9
239,989-28-654-9826-6,4,7
240,989-28-654-4370-9,4,9
241,989-28-654-9826-6,9,8
242,989-28-654-4370-9,9,7
243,989-28-654-9826-6,7,5
244,989-28-654-4370-9,7,8
245,989-28-654-9826-6,12,5
246,989-28-654-4370-9,12,7
247,989-28-654-9826-6,6,4
248,989-28-654-4370-9,6,4
249,989-28-654-9826-6,8,5
250,989-28-654-4370-9,8,4
251,989-28-654-9826-6,5,4
252,989-28-654-4370-9,5,3
253,989-28-79-44730-4,7,11
254,989-28-79-44730-4,1,7
255,989-28-79-44730-4,3,9
256,989-28-79-44730-4,4,8
257,989-28-79-44730-4,5,7
258,989-28-79-44730-4,6,7
259,989-28-79-44730-4,9,9
260,989-28-79-44730-4,2,8
261,989-28-79-44730-4,8,6
262,989-28-79-44730-4,11,8
263,989-28-79-44730-4,10,8
264,989-28-79-44730-4,12,5
265,989-28-3705-054-6,1,125
266,989-28-3705-966-2,1,104
267,989-28-3705-007-2,1,104
268,989-28-3705-054-6,3,81
269,989-28-3705-966-2,3,81
270,989-28-3705-007-2,3,81
271,989-28-3705-054-6,2,67
272,989-28-3705-966-2,2,92
273,989-28-3705-007-2,2,75
274,989-28-3705-054-6,4,75
275,989-28-3705-966-2,4,67
276,989-28-3705-007-2,4,75
277,989-28-3705-054-6,7,82
278,989-28-3705-966-2,7,82
279,989-28-3705-007-2,7,82
280,989-28-3705-054-6,5,79
281,989-28-3705-966-2,5,95
282,989-28-3705-007-2,5,64
283,989-28-3705-054-6,12,81
284,989-28-3705-966-2,12,81
285,989-28-3705-007-2,12,73
286,989-28-3705-054-6,6,55
287,989-28-3705-966-2,6,68
288,989-28-3705-007-2,6,82
289,989-28-3705-054-6,11,50
290,989-28-3705-966-2,11,69
291,989-28-3705-007-2,11,56
292,989-28-3705-054-6,8,64
293,989-28-3705-966-2,8,52
294,989-28-3705-007-2,8,77
295,989-28-3705-054-6,9,64
296,989-28-3705-966-2,9,77
297,989-28-3705-007-2,9,71
298,989-28-3705-054-6,10,52
299,989-28-3705-966-2,10,46
300,989-28-3705-007-2,10,46
301,989-28-654-5794-2,7,6
302,989-28-654-5771-3,7,7
303,989-28-654-5794-2,9,6
304,989-28-654-5771-3,9,6
305,989-28-654-5794-2,1,6
306,989-28-654-5771-3,1,5
307,989-28-654-5794-2,5,5
308,989-28-654-5771-3,5,4
309,989-28-654-5794-2,8,6
310,989-28-654-5771-3,8,6
311,989-28-654-5794-2,4,4
312,989-28-654-5771-3,4,4
313,989-28-654-5794-2,6,5
314,989-28-654-5771-3,6,4
315,989-28-654-5794-2,3,4
316,989-28-654-5771-3,3,4
317,989-28-654-5794-2,10,3
318,989-28-654-5771-3,10,3
319,989-28-654-5794-2,11,3
320,989-28-654-5771-3,11,4
321,989-28-654-5794-2,2,2
322,989-28-654-5771-3,2,2
323,989-28-79-42728-3,8,6
324,989-28-79-61125-5,8,5
325,989-28-79-42728-3,9,8
326,989-28-79-61125-5,9,5
327,989-28-79-42728-3,4,5
328,989-28-79-61125-5,4,6
329,989-28-79-42728-3,6,6
330,989-28-79-61125-5,6,4
331,989-28-79-42728-3,7,4
332,989-28-79-61125-5,7,5
333,989-28-79-42728-3,11,5
334,989-28-79-61125-5,11,6
335,989-28-79-42728-3,5,4
336,989-28-79-61125-5,5,4
337,989-28-79-42728-3,10,4
338,989-28-79-61125-5,10,5
339,989-28-79-42728-3,1,3
340,989-28-79-61125-5,1,4
341,989-28-79-42728-3,3,3
342,989-28-79-61125-5,3,4
343,989-28-79-42728-3,12,4
344,989-28-79-61125-5,12,3
345,989-28-79-42728-3,2,2
346,989-28-79-61125-5,2,2
347,989-28-3705-633-3,9,8
348,989-28-3705-607-4,9,10
349,989-28-3705-633-3,1,9
350,989-28-3705-607-4,1,7
351,989-28-3705-633-3,5,8
352,989-28-3705-607-4,5,9
353,989-28-3705-633-3,6,7
354,989-28-3705-607-4,6,9
355,989-28-3705-633-3,7,8
356,989-28-3705-607-4,7,9
357,989-28-3705-633-3,8,8
358,989-28-3705-607-4,8,7
359,989-28-3705-633-3,2,7
360,989-28-3705-607-4,2,8
361,989-28-3705-633-3,3,6
362,989-28-3705-607-4,3,5
363,989-28-3705-633-3,4,6
364,989-28-3705-607-4,4,7
365,989-28-3705-633-3,10,5
366,989-28-3705-607-4,10,5
367,989-28-3705-633-3,11,4
368,989-28-3705-607-4,11,6
369,989-28-3705-633-3,12,5
370,989-28-3705-607-4,12,5
371,989-28-654-2017-5,10,7
372,989-28-654-5018-9,10,6
373,989-28-654-2017-5,6,6
374,989-28-654-5018-9,6,8
375,989-28-654-2017-5,7,7
376,989-28-654-5018-9,7,6
377,989-28-654-2017-5,3,6
378,989-28-654-5018-9,3,6
379,989-28-654-2017-5,8,6
380,989-28-654-5018-9,8,4
381,989-28-654-2017-5,9,5
382,989-28-654-5018-9,9,5
383,989-28-654-2017-5,12,6
384,989-28-654-5018-9,12,6
385,989-28-654-2017-5,1,5
386,989-28-654-5018-9,1,4
387,989-28-654-2017-5,2,4
388,989-28-654-5018-9,2,4
389,989-28-654-2017-5,4,5
390,989-28-654-5018-9,4,4
391,989-28-654-2017-5,5,4
392,989-28-654-5018-9,5,5
393,989-28-654-2017-5,11,4
394,989-28-654-5018-9,11,4
395,989-28-79-07610-8,9,16
396,989-28-79-21991-8,9,16
397,989-28-79-07610-8,8,17
398,989-28-79-21991-8,8,15
399,989-28-79-07610-8,7,17
400,989-28-79-21991-8,7,16
401,989-28-79-07610-8,10,13
402,989-28-79-21991-8,10,13
403,989-28-79-07610-8,11,14
404,989-28-79-21991-8,11,16
405,989-28-79-07610-8,1,11
406,989-28-79-21991-8,1,11
407,989-28-79-07610-8,4,14
408,989-28-79-21991-8,4,15
409,989-28-79-07610-8,5,12
410,989-28-79-21991-8,5,10
411,989-28-79-07610-8,12,12
412,989-28-79-21991-8,12,15
413,989-28-79-07610-8,2,11
414,989-28-79-21991-8,2,13
415,989-28-79-07610-8,3,11
416,989-28-79-21991-8,3,9
417,989-28-79-07610-8,6,13
418,989-28-79-21991-8,6,14
419,989-28-229-5891-8,7,24
420,989-28-229-5891-8,3,24
421,989-28-229-5891-8,1,21
422,989-28-229-5891-8,8,15
423,989-28-229-5891-8,5,17
424,989-28-229-5891-8,9,21
425,989-28-229-5891-8,11,19
426,989-28-229-5891-8,2,13
427,989-28-229-5891-8,4,15
428,989-28-229-5891-8,6,15
429,989-28-229-5891-8,10,18
430,989-28-229-5891-8,12,17
431,989-28-654-3988-7,4,3
432,989-28-3705-763-7,8,5
433,989-28-3705-205-2,8,4
434,989-28-3705-763-7,3,4
435,989-28-3705-205-2,3,5
436,989-28-3705-763-7,4,4
437,989-28-3705-205-2,4,5
438,989-28-3705-763-7,5,4
439,989-28-3705-205-2,5,4
440,989-28-3705-763-7,6,4
441,989-28-3705-205-2,6,4
442,989-28-3705-763-7,7,4
443,989-28-3705-205-2,7,4
444,989-28-3705-763-7,9,4
445,989-28-3705-205-2,9,4
446,989-28-3705-763-7,2,3
447,989-28-3705-205-2,2,3
448,989-28-3705-763-7,10,4
449,989-28-3705-205-2,10,4
450,989-28-3705-763-7,11,3
451,989-28-3705-205-2,11,3
452,989-28-3705-763-7,12,4
453,989-28-3705-205-2,12,3
454,989-28-3705-763-7,1,3
455,989-28-3705-205-2,1,2
456,989-28-229-7592-2,1,43
457,989-28-229-7592-2,7,52
458,989-28-229-7592-2,11,51
459,989-28-229-7592-2,3,40
460,989-28-229-7592-2,8,50
461,989-28-229-7592-2,4,58
462,989-28-229-7592-2,2,38
463,989-28-229-7592-2,5,57
464,989-28-229-7592-2,6,46
465,989-28-229-7592-2,9,36
466,989-28-229-7592-2,10,48
467,989-28-229-7592-2,12,41
468,989-28-654-2620-7,8,5
469,989-28-654-2620-7,5,4
470,989-28-654-2620-7,7,4
471,989-28-654-2620-7,9,4
472,989-28-654-2620-7,4,3
473,989-28-654-2620-7,6,3
474,989-28-654-2620-7,10,4
475,989-28-654-2620-7,11,4
476,989-28-654-2620-7,12,3
477,989-28-654-2620-7,1,2
478,989-28-654-2620-7,2,2
479,989-28-654-2620-7,3,3
480,989-28-79-27078-0,7,15
481,989-28-79-27078-0,3,15
482,989-28-79-27078-0,1,14
483,989-28-79-27078-0,4,10
484,989-28-79-27078-0,5,10
485,989-28-79-27078-0,6,9
486,989-28-79-27078-0,9,8
487,989-28-79-27078-0,10,11
488,989-28-79-27078-0,2,10
489,989-28-79-27078-0,8,10
490,989-28-79-27078-0,12,10
491,989-28-79-27078-0,11,10
492,989-28-654-6930-3,2,11
493,989-28-654-0047-4,2,12
494,989-28-654-6930-3,4,7
495,989-28-654-0047-4,4,8
496,989-28-654-6930-3,5,5
497,989-28-654-0047-4,5,7
498,989-28-654-6930-3,7,6
499,989-28-654-0047-4,7,8
500,989-28-654-6930-3,1,4
501,989-28-654-0047-4,1,6
502,989-28-654-6930-3,6,4
503,989-28-654-0047-4,6,6
504,989-28-654-6930-3,8,6
505,989-28-654-0047-4,8,6
506,989-28-654-6930-3,3,4
507,989-28-654-0047-4,3,4
508,989-28-654-6930-3,9,4
509,989-28-654-0047-4,9,4
510,989-28-654-6930-3,11,4
511,989-28-654-0047-4,11,4
512,989-28-79-82749-6,3,59
513,989-28-79-69807-2,3,40
514,989-28-79-82749-6,7,54
515,989-28-79-69807-2,7,41
516,989-28-79-82749-6,1,38
517,989-28-79-69807-2,1,51
518,989-28-79-82749-6,6,42
519,989-28-79-69807-2,6,51
520,989-28-79-82749-6,2,32
521,989-28-79-69807-2,2,44
522,989-28-79-82749-6,10,36
523,989-28-79-69807-2,10,40
524,989-28-79-82749-6,4,37
525,989-28-79-69807-2,4,37
526,989-28-79-82749-6,5,45
527,989-28-79-69807-2,5,45
528,989-28-79-82749-6,8,34
529,989-28-79-69807-2,8,30
530,989-28-79-82749-6,11,45
531,989-28-79-69807-2,11,30
532,989-28-79-82749-6,9,29
533,989-28-79-69807-2,9,40
534,989-28-79-82749-6,12,27
535,989-28-79-69807-2,12,33
536,989-28-79-82339-9,9,7
537,989-28-79-55752-2,9,9
538,989-28-79-82339-9,3,6
539,989-28-79-55752-2,3,8
540,989-28-79-82339-9,6,8
541,989-28-79-55752-2,6,8
542,989-28-79-82339-9,8,6
543,989-28-79-55752-2,8,5
544,989-28-79-82339-9,11,6
545,989-28-79-55752-2,11,8
546,989-28-79-82339-9,12,6
547,989-28-79-55752-2,12,5
548,989-28-79-82339-9,1,6
549,989-28-79-55752-2,1,6
550,989-28-79-82339-9,2,5
551,989-28-79-55752-2,2,4
552,989-28-79-82339-9,5,6
553,989-28-79-55752-2,5,5
554,989-28-79-82339-9,7,5
555,989-28-79-55752-2,7,6
556,989-28-79-82339-9,4,4
557,989-28-79-55752-2,4,5
558,989-28-79-82339-9,10,4
559,989-28-79-55752-2,10,4
560,989-28-654-3899-6,6,9
561,989-28-654-3899-6,1,11
562,989-28-654-3899-6,4,8
563,989-28-654-3899-6,8,8
564,989-28-654-3899-6,11,8
565,989-28-654-3899-6,2,7
566,989-28-654-3899-6,7,6
567,989-28-654-3899-6,5,6
568,989-28-654-3899-6,12,8
569,989-28-654-3899-6,3,6
570,989-28-654-3899-6,9,5
571,989-28-654-3899-6,10,4
572,989-28-79-30536-9,1,14
573,989-28-79-30536-9,3,16
574,989-28-79-30536-9,10,15
575,989-28-79-30536-9,9,14
576,989-28-79-30536-9,4,10
577,989-28-79-30536-9,5,9
578,989-28-79-30536-9,11,8
579,989-28-79-30536-9,12,9
580,989-28-79-30536-9,2,8
581,989-28-79-30536-9,7,9
582,989-28-79-30536-9,8,9
583,989-28-79-30536-9,6,9
584,989-28-79-32105-5,7,21
585,989-28-79-32105-5,8,14
586,989-28-79-32105-5,4,9
587,989-28-79-32105-5,5,11
588,989-28-79-32105-5,6,14
589,989-28-79-32105-5,9,10
590,989-28-79-32105-5,1,9
591,989-28-79-32105-5,3,8
592,989-28-79-32105-5,2,4
593,989-28-79-32105-5,10,4
594,989-28-79-32105-5,11,5
595,989-28-79-32105-5,12,5
596,989-28-79-52883-6,1,11
597,989-28-79-01991-4,1,12
598,989-28-79-52883-6,2,10
599,989-28-79-01991-4,2,14
600,989-28-79-52883-6,7,10
601,989-28-79-01991-4,7,10
602,989-28-79-52883-6,10,15
603,989-28-79-01991-4,10,11
604,989-28-79-52883-6,9,11
605,989-28-79-01991-4,9,14
606,989-28-79-52883-6,11,14
607,989-28-79-01991-4,11,9
608,989-28-79-52883-6,12,9
609,989-28-79-01991-4,12,9
610,989-28-79-52883-6,3,9
611,989-28-79-01991-4,3,8
612,989-28-79-52883-6,4,10
613,989-28-79-01991-4,4,10
614,989-28-79-52883-6,8,9
615,989-28-79-01991-4,8,9
616,989-28-79-52883-6,5,10
617,989-28-79-01991-4,5,7
618,989-28-79-52883-6,6,9
619,989-28-79-01991-4,6,7
620,989-28-79-87459-9,6,8
621,989-28-79-87459-9,3,6
622,989-28-79-87459-9,4,8
623,989-28-79-87459-9,7,9
624,989-28-79-87459-9,8,9
625,989-28-79-87459-9,5,7
626,989-28-79-87459-9,9,6
627,989-28-79-87459-9,1,5
628,989-28-79-87459-9,10,5
629,989-28-79-87459-9,11,4
630,989-28-79-87459-9,2,5
631,989-28-79-87459-9,12,5
632,989-28-79-40897-8,1,78
633,989-28-79-23023-4,1,78
634,989-28-79-40897-8,2,93
635,989-28-79-23023-4,2,85
636,989-28-79-40897-8,3,89
637,989-28-79-23023-4,3,89
638,989-28-79-40897-8,4,42
639,989-28-79-23023-4,4,47
640,989-28-79-40897-8,12,58
641,989-28-79-23023-4,12,52
642,989-28-79-40897-8,11,40
643,989-28-79-23023-4,11,45
644,989-28-79-40897-8,5,40
645,989-28-79-23023-4,5,40
646,989-28-79-40897-8,10,33
647,989-28-79-23023-4,10,37
648,989-28-79-40897-8,6,22
649,989-28-79-23023-4,6,25
650,989-28-79-40897-8,7,19
651,989-28-79-23023-4,7,19
652,989-28-79-40897-8,8,18
653,989-28-79-23023-4,8,15
654,989-28-79-40897-8,9,16
655,989-28-79-23023-4,9,12
656,989-28-79-43841-8,11,6
657,989-28-79-14379-4,11,6
658,989-28-79-43841-8,6,4
659,989-28-79-14379-4,6,5
660,989-28-79-43841-8,9,5
661,989-28-79-14379-4,9,5
662,989-28-79-43841-8,1,4
663,989-28-79-14379-4,1,4
664,989-28-79-43841-8,3,5
665,989-28-79-14379-4,3,4
666,989-28-79-43841-8,5,4
667,989-28-79-14379-4,5,5
668,989-28-79-43841-8,7,4
669,989-28-79-14379-4,7,4
670,989-28-79-43841-8,8,5
671,989-28-79-14379-4,8,4
672,989-28-79-43841-8,2,3
673,989-28-79-14379-4,2,3
674,989-28-79-43841-8,4,3
675,989-28-79-14379-4,4,3
676,989-28-79-43841-8,10,4
677,989-28-79-14379-4,10,3
678,989-28-79-43841-8,12,3
679,989-28-79-14379-4,12,4
680,989-28-79-74374-1,2,137
681,989-28-79-74374-1,10,120
682,989-28-79-74374-1,8,118
683,989-28-79-74374-1,4,140
684,989-28-79-74374-1,7,92
685,989-28-79-74374-1,9,114
686,989-28-79-74374-1,3,130
687,989-28-79-74374-1,5,95
688,989-28-79-74374-1,11,126
689,989-28-79-74374-1,6,123
690,989-28-79-74374-1,1,109
691,989-28-79-74374-1,12,97
692,989-28-229-3157-7,10,29
693,989-28-229-3157-7,4,32
694,989-28-229-3157-7,9,35
695,989-28-229-3157-7,1,38
696,989-28-229-3157-7,7,31
697,989-28-229-3157-7,8,41
698,989-28-229-3157-7,2,27
699,989-28-229-3157-7,3,33
700,989-28-229-3157-7,6,36
701,989-28-229-3157-7,11,29
702,989-28-229-3157-7,5,24
703,989-28-229-3157-7,12,30
704,989-28-79-67891-3,4,25
705,989-28-79-45675-7,4,18
706,989-28-79-67891-3,7,27
707,989-28-79-45675-7,7,25
708,989-28-79-67891-3,3,26
709,989-28-79-45675-7,3,24
710,989-28-79-67891-3,8,26
711,989-28-79-45675-7,8,24
712,989-28-79-67891-3,9,24
713,989-28-79-45675-7,9,24
714,989-28-79-67891-3,11,24
715,989-28-79-45675-7,11,26
716,989-28-79-67891-3,12,24
717,989-28-79-45675-7,12,26
718,989-28-79-67891-3,1,24
719,989-28-79-45675-7,1,16
720,989-28-79-67891-3,6,24
721,989-28-79-45675-7,6,18
722,989-28-79-67891-3,2,18
723,989-28-79-45675-7,2,18
724,989-28-79-67891-3,5,19
725,989-28-79-45675-7,5,19
726,989-28-79-67891-3,10,19
727,989-28-79-45675-7,10,19
728,989-28-654-9484-8,8,15
729,989-28-654-6507-7,8,12
730,989-28-654-9484-8,10,12
731,989-28-654-6507-7,10,12
732,989-28-654-9484-8,1,10
733,989-28-654-6507-7,1,10
734,989-28-654-9484-8,2,9
735,989-28-654-6507-7,2,11
736,989-28-654-9484-8,3,11
737,989-28-654-6507-7,3,10
738,989-28-654-9484-8,6,8
739,989-28-654-6507-7,6,9
740,989-28-654-9484-8,7,8
741,989-28-654-6507-7,7,8
742,989-28-654-9484-8,11,9
743,989-28-654-6507-7,11,8
744,989-28-654-9484-8,12,8
745,989-28-654-6507-7,12,9
746,989-28-654-9484-8,4,11
747,989-28-654-6507-7,4,9
748,989-28-654-9484-8,5,8
749,989-28-654-6507-7,5,10
750,989-28-654-9484-8,9,7
751,989-28-654-6507-7,9,8
752,989-28-79-68531-7,10,9
753,989-28-79-16808-7,10,9
754,989-28-79-68531-7,9,6
755,989-28-79-16808-7,9,6
756,989-28-79-68531-7,3,5
757,989-28-79-16808-7,3,4
758,989-28-79-68531-7,5,6
759,989-28-79-16808-7,5,6
760,989-28-79-68531-7,7,5
761,989-28-79-16808-7,7,5
762,989-28-79-68531-7,11,6
763,989-28-79-16808-7,11,5
764,989-28-79-68531-7,12,6
765,989-28-79-16808-7,12,4
766,989-28-79-68531-7,4,4
767,989-28-79-16808-7,4,4
768,989-28-79-68531-7,6,5
769,989-28-79-16808-7,6,4
770,989-28-79-68531-7,8,5
771,989-28-79-16808-7,8,4
772,989-28-79-68531-7,1,3
773,989-28-79-16808-7,1,3
774,989-28-79-68531-7,2,3
775,989-28-79-16808-7,2,3
776,989-28-79-16533-8,10,16
777,989-28-79-36485-4,10,19
778,989-28-79-16533-8,1,18
779,989-28-79-36485-4,1,18
780,989-28-79-16533-8,4,18
781,989-28-79-36485-4,4,14
782,989-28-79-16533-8,2,13
783,989-28-79-36485-4,2,13
784,989-28-79-16533-8,7,12
785,989-28-79-36485-4,7,12
786,989-28-79-16533-8,3,13
787,989-28-79-36485-4,3,12
788,989-28-79-16533-8,5,15
789,989-28-79-36485-4,5,11
790,989-28-79-16533-8,6,15
791,989-28-79-36485-4,6,11
792,989-28-79-16533-8,8,13
793,989-28-79-36485-4,8,11
794,989-28-79-16533-8,9,9
795,989-28-79-36485-4,9,11
796,989-28-79-16533-8,12,11
797,989-28-79-36485-4,12,9
798,989-28-79-16533-8,11,9
799,989-28-79-36485-4,11,8
800,989-28-79-03683-6,1,27
801,989-28-79-03683-6,7,19
802,989-28-79-03683-6,2,16
803,989-28-79-03683-6,4,24
804,989-28-79-03683-6,10,18
805,989-28-79-03683-6,11,24
806,989-28-79-03683-6,3,18
807,989-28-79-03683-6,6,16
808,989-28-79-03683-6,9,21
809,989-28-79-03683-6,5,17
810,989-28-79-03683-6,8,14
811,989-28-79-03683-6,12,15
812,989-28-79-05638-4,7,24
813,989-28-79-82197-5,7,24
814,989-28-79-05638-4,9,16
815,989-28-79-82197-5,9,22
816,989-28-79-05638-4,3,16
817,989-28-79-82197-5,3,21
818,989-28-79-05638-4,4,20
819,989-28-79-82197-5,4,22
