BookID,Title,AuthID,Genre,Volume Number,Staff Comment
LS176,Land Water Sky Space,EH487,Nonfiction,,
MW621,Muddy Waters,LD375,Romance,2,Book Two of Esme's Ladies
NP937,Natural Pamplemousse,PB147,Nonfiction,,
NL209,No More Lightning,CF829,Fiction,,Beloved author Charles Fenimore strikes out in a new direction with his first graphic novel. In this devestating tale of daring ingenuity and just a dash of  luck Fenimore dmonstrates his genius for combining visual flare and cutting prose. Uchon's mechanical contraption to tame lightning brings its own threats to her tinder-box community stricken by wildfires. Will Uchon's luck run out on the eve of the biggest lightning storm to threaten the sleepy town of Delanro in decades? 
NB483,Not to Gossip But,GG800,Fiction,2,"""I never thought I'd enjoy a trashy light chick-lit series. But here I am and Green is rapidly becoming my favorite author!"""
NC652,Nothing But Capers,AS443,Nonfiction,,"When his wife set out to write her magnum opus cookbook food critic Stackhouse thought the hardest part would be making sure he didn't outgrow his favorite slacks. He never expected that amidst the thyme and roux and cleavers their relationship would be tried tested and ultimately perfected. Tastefully seasoned with the recipes that brought them to the brink ""Nothing But Capers"" follows the tumult that strained then saved his marriage and his life. "
PP866,Portmeirion,BT132,SciFi/Fantasy,2,No one saw it coming. No one could escape the effects. No one could imagine what would come next. 
PA169,Post Alley,BM856,Fiction,,
QQ737,Quiddity and Quoddity,JH502,Young Adult,,Debut novel from Jill Hergesheimer
RR774,Rystwyth,BT132,SciFi/Fantasy,3,The triumphant tragic unimaginable third installment in the Mallemaroking saga
SE355,Saint Esme,LD375,Romance,6,Book Six of Esme's Ladies
SS693,Say it with Snap!,JS525,Nonfiction,,Long-winded talkers waste time for themselves and those who listen. When you have something to say get to the point. Say it with Snap! 
ST862,She Also Tottered,RP438,SciFi/Fantasy,,
ST303,Soft Pliable Truth,RP438,SciFi/Fantasy,,
SS361,Some Eggs or Something?,LK915,Fiction,,
TC401,Tales of the Compass,KY296,SciFi/Fantasy,,
TC188,Thatchwork Cottage,BM856,Fiction,,
TH143,The Elephant House,JS525,Nonfiction,,
TP887,the life and times of an utterly inconsequential person,DB605,Fiction,,
TM925,The Mallemaroking,BT132,SciFi/Fantasy,1,An epic on the scale of Game of Thrones and The Lord of the Rings. The Mallemaroking is a book that cannot be defined only experienced. 
TO369,The Scent of Oranges,LD375,Romance,4,Book Four of Esme's Ladies
TS869,The Seawitch Sings,LD375,Romance,1,Book One of Esme's Ladies
TA182,The Spark and The Ashes,UK129,Young Adult,,
TH556,The Startling End of Mr. Hidhoo,JK592,Fiction,,Mr. Hidoo with his kind smile and perpetual silence is easy to overlook. Until he turns up dead. 
TI225,The Thing Is,GG800,Fiction,1,"""The thing is 'The Thing Is' is exactly what you need. Don't believe me? Give it a try."""
TT773,The Triscanipt,UK129,SciFi/Fantasy,,
TH296,The Winchcombe Railway Museum Heist,CS190,Mystery,2,
TT359,Turn Left Til You Get There,KE397,Fiction,1,
WO506,We're Sisters and We Kinda Like Each Other,PH273,Memoir,,"""Only a sister knows the difference between a strangle and a hug"""
WG715,Whither Thou Goest,LD375,Romance,3,Book Three of Esme's Ladies
WK456,Who Did You Think You Were Kidding?,PA878,Memoir,,"Antrim's ability to make you laugh through your tears has never been stronger than in his memoirs. Diagnosed with terminal cancer at 38 Antrim reflects back on his life with the grace and wisdom of a man twice his age. ""Who Did You Think You Were Kidding"" reminds us that even on a sad path toward a death far too soon the journey is what matters. "
ZT703,Zero over Twelve,BM856,Mystery,,
