ISBN,BookID,Format,PubID,Publication Date,Pages,Print Run Size (k),Price
989-28-79-23015-9,CH391,Hardcover,ESP,3/6/1987,404,2,19
989-28-3705-152-9,BF889,Paperback,CHP,4/3/1987,20,10,8
989-28-3705-583-1,BC244,Board book,CHP,5/8/1987,13,10,7
989-28-79-07610-8,KA663,Hardcover,ESP,5/15/1987,432,25,28
989-28-3705-649-4,BR858,Board book,CHP,7/10/1987,11,10,7
989-28-79-51397-9,TT773,Hardcover,ESP,8/28/1987,292,40,22
989-28-3705-775-0,BC244,Paperback,CHP,11/6/1987,22,15,8
989-28-79-05670-4,ZT703,Mass market paperback,ESP,11/20/1987,338,26,9
989-28-3705-136-9,BR858,Paperback,CHP,1/8/1988,15,17,8
989-28-79-56856-6,CC830,Hardcover,ESP,2/19/1988,434,25,22
989-28-79-26824-4,TT773,Mass market paperback,ESP,4/8/1988,280,40,9
989-28-229-3157-7,SE355,Mass market paperback,SSC,4/15/1988,336,35,10
989-28-3705-492-6,CH391,Trade paperback,CHP,4/24/1988,404,7,12
989-28-3705-138-3,BF374,Board book,CHP,5/27/1988,12,18,7
989-28-3705-007-2,HP265,Board book,CHP,6/3/1988,16,55,6
989-28-3705-369-1,BF374,Paperback,CHP,10/14/1988,20,18,8
989-28-79-23023-4,PP866,Mass market paperback,ESP,10/21/1988,792,78,9
989-28-79-21991-8,KA663,Mass market paperback,ESP,11/25/1988,341,45,9
989-28-79-68531-7,ST303,Hardcover,ESP,1/6/1989,437,7,22
989-28-79-96705-5,CC830,Mass market paperback,ESP,3/17/1989,381,50,9
989-28-79-16826-1,AM124,Graphic,ESP,3/24/1989,85,3,24
989-28-654-2017-5,IC739,Hardcover,PP,6/9/1989,337,16,30
989-28-79-16533-8,ST862,Hardcover,ESP,2/16/1990,531,9,22
989-28-79-69359-6,CP573,Hardcover,ESP,3/2/1990,706,6,22
989-28-79-16808-7,ST303,Trade paperback,ESP,5/18/1990,458,11,13
989-28-654-5018-9,IC739,Trade paperback,PP,7/15/1990,385,20,17
989-28-79-36485-4,ST862,Trade paperback,ESP,9/14/1990,520,15,13
989-28-79-27078-0,NL209,Graphic,ESP,10/5/1990,192,4,24
989-28-79-55824-6,CP573,Mass market paperback,ESP,12/21/1990,651,15,9
989-28-79-82339-9,TC401,Hardcover,ESP,2/22/1991,421,10,22
989-28-654-9484-8,SS693,Hardcover,PP,3/1/1991,400,8,24
989-28-654-3988-7,LS176,Hardcover,PP,3/15/1991,368,2,48
989-28-79-86624-2,TP887,Hardcover,ESP,5/14/1991,1296,30,36
989-28-79-64693-6,AY135,Trade paperback,ESP,8/25/1991,645,36,13
989-28-229-9769-6,BS284,Mass market paperback,SSC,9/20/1991,368,37,10
989-28-3705-763-7,MM424,Hardcover,CHP,11/15/1991,324,3,23
989-28-79-74374-1,RR774,Hardcover,ESP,1/3/1992,1218,40,22
989-28-79-55752-2,TC401,Mass market paperback,ESP,4/3/1992,398,18,9
989-28-654-6507-7,SS693,Trade paperback,PP,5/15/1992,387,8,16
989-28-79-03683-6,TA182,Hardcover,ESP,7/3/1992,340,35,19
989-28-654-3899-6,WK456,Hardcover,PP,8/14/1992,207,2,30
989-28-79-11297-4,TP887,Trade paperback,ESP,8/25/1992,1296,30,13
989-28-3705-205-2,MM424,Trade paperback,CHP,9/18/1992,324,8,12
