Sales_ID,Sale Date,ISBN,OrderID
42,1/2/2193,989-28-3705-007-2,107020-43
43,1/2/2193,989-28-3705-987-7,107020-43
44,1/2/2193,989-28-3705-222-9,107020-43
45,1/2/2193,989-28-3705-966-2,107020-44
46,1/2/2193,989-28-3705-987-7,107020-44
47,1/2/2193,989-28-79-82749-6,107020-45
48,1/2/2193,989-28-79-13801-1,107020-45
49,1/2/2193,989-28-79-07610-8,107020-45
50,1/2/2193,989-28-79-05670-4,107020-46
51,1/2/2193,989-28-79-11297-4,107020-46
52,1/2/2193,989-28-79-69807-2,107020-46
53,1/2/2193,989-28-3705-987-7,107020-5
54,1/2/2193,989-28-3705-007-2,107020-6
55,1/2/2193,989-28-3705-007-2,107020-7
56,1/2/2193,989-28-79-21991-8,107020-8
57,1/2/2193,989-28-79-30536-9,107020-9
58,1/2/2193,989-28-79-82197-5,107036-13
59,1/3/2193,989-28-79-68089-3,107021-100
60,1/3/2193,989-28-79-13801-1,107021-100
61,1/3/2193,989-28-229-6632-6,107021-101
62,1/3/2193,989-28-3705-492-6,107021-101
63,1/3/2193,989-28-3705-966-2,107021-47
64,1/3/2193,989-28-3705-649-4,107021-48
65,1/3/2193,989-28-3705-987-7,107021-49
66,1/3/2193,989-28-3705-007-2,107021-50
67,1/3/2193,989-28-3705-007-2,107021-51
68,1/3/2193,989-28-79-45675-7,107021-52
69,1/3/2193,989-28-79-16826-1,107021-53
70,1/3/2193,989-28-79-82197-5,107021-54
71,1/3/2193,989-28-79-82197-5,107021-56
72,1/3/2193,989-28-79-07610-8,107021-57
73,1/3/2193,989-28-79-45675-7,107021-58
74,1/3/2193,989-28-79-05638-4,107021-59
75,1/3/2193,989-28-79-27078-0,107021-60
76,1/3/2193,989-28-79-30536-9,107021-61
77,1/3/2193,989-28-79-13871-4,107021-62
78,1/3/2193,989-28-79-69807-2,107021-63
79,1/3/2193,989-28-79-13871-4,107021-64
80,1/3/2193,989-28-79-69807-2,107021-65
81,1/3/2193,989-28-79-13871-4,107021-66
82,1/3/2193,989-28-79-13871-4,107021-67
83,1/3/2193,989-28-229-3157-7,107021-68
84,1/3/2193,989-28-229-7592-2,107021-69
85,1/3/2193,989-28-229-1404-4,107021-70
86,1/3/2193,989-28-229-1404-4,107021-71
87,1/3/2193,989-28-229-1404-4,107021-72
88,1/3/2193,989-28-79-71565-6,107021-73
89,1/3/2193,989-28-79-74374-1,107021-74
90,1/3/2193,989-28-79-91028-0,107021-75
91,1/3/2193,989-28-79-23023-4,107021-76
92,1/3/2193,989-28-79-23023-4,107021-77
93,1/3/2193,989-28-79-26824-4,107021-78
94,1/3/2193,989-28-79-91028-0,107021-79
95,1/3/2193,989-28-79-23023-4,107021-80
96,1/3/2193,989-28-79-55824-6,107021-81
97,1/3/2193,989-28-79-71565-6,107021-82
98,1/3/2193,989-28-79-74374-1,107021-83
99,1/3/2193,989-28-79-68089-3,107021-84
100,1/3/2193,989-28-79-13801-1,107021-85
101,1/3/2193,989-28-79-13801-1,107021-86
102,1/3/2193,989-28-79-74374-1,107021-87
103,1/3/2193,989-28-79-40897-8,107021-88
104,1/3/2193,989-28-79-74374-1,107021-89
105,1/3/2193,989-28-79-74374-1,107021-90
106,1/3/2193,989-28-79-13801-1,107021-91
107,1/3/2193,989-28-79-40897-8,107021-92
108,1/3/2193,989-28-79-23023-4,107021-93
109,1/3/2193,989-28-3705-492-6,107021-94
110,1/3/2193,989-28-3705-492-6,107021-95
111,1/3/2193,989-28-3705-222-9,107021-96
112,1/3/2193,989-28-3705-222-9,107021-97
113,1/3/2193,989-28-3705-222-9,107021-98
114,1/3/2193,989-28-79-68089-3,107021-99
115,1/3/2193,989-28-79-82197-5,107021-99
116,1/3/2193,989-28-79-82197-5,107021-99
117,1/3/2193,989-28-79-82197-5,107047-55
118,1/4/2193,989-28-79-21991-8,107022-102
119,1/4/2193,989-28-79-82197-5,107022-103
120,1/4/2193,989-28-79-86624-2,107022-104
121,1/4/2193,989-28-79-45675-7,107022-105
122,1/4/2193,989-28-79-22871-2,107022-106
123,1/4/2193,989-28-79-01991-4,107022-107
124,1/4/2193,989-28-79-45675-7,107022-108
125,1/4/2193,989-28-79-82749-6,107022-109
126,1/4/2193,989-28-79-82749-6,107022-110
127,1/4/2193,989-28-79-69807-2,107022-111
128,1/4/2193,989-28-79-13871-4,107022-112
129,1/4/2193,989-28-79-05670-4,107022-113
130,1/4/2193,989-28-79-05670-4,107022-114
131,1/4/2193,989-28-79-82749-6,107022-115
132,1/4/2193,989-28-79-13871-4,107022-116
133,1/4/2193,989-28-79-13871-4,107022-117
134,1/4/2193,989-28-79-13871-4,107022-118
135,1/4/2193,989-28-79-22562-9,107022-119
136,1/4/2193,989-28-79-22562-9,107022-120
137,1/4/2193,989-28-79-82749-6,107022-121
138,1/4/2193,989-28-79-69807-2,107022-122
139,1/4/2193,989-28-79-69807-2,107022-123
140,1/4/2193,989-28-79-69807-2,107022-124
141,1/4/2193,989-28-229-5891-8,107022-125
142,1/4/2193,989-28-229-7592-2,107022-126
143,1/4/2193,989-28-229-6632-6,107022-127
144,1/4/2193,989-28-229-0197-6,107022-128
145,1/4/2193,989-28-229-9769-6,107022-129
146,1/4/2193,989-28-229-3157-7,107022-130
147,1/4/2193,989-28-229-9769-6,107022-131
148,1/4/2193,989-28-79-26824-4,107022-132
149,1/4/2193,989-28-79-91028-0,107022-133
150,1/4/2193,989-28-79-13801-1,107022-134
151,1/4/2193,989-28-79-13801-1,107022-135
152,1/4/2193,989-28-79-23023-4,107022-136
153,1/4/2193,989-28-79-23023-4,107022-137
154,1/4/2193,989-28-79-74374-1,107022-138
155,1/4/2193,989-28-79-13801-1,107022-139
156,1/4/2193,989-28-79-55824-6,107022-140
157,1/4/2193,989-28-79-13801-1,107022-141
158,1/4/2193,989-28-79-26824-4,107022-142
159,1/4/2193,989-28-79-71565-6,107022-143
160,1/4/2193,989-28-79-13801-1,107022-144
161,1/4/2193,989-28-79-13801-1,107022-145
162,1/4/2193,989-28-79-74374-1,107022-146
163,1/4/2193,989-28-79-91028-0,107022-147
164,1/4/2193,989-28-79-13801-1,107022-148
165,1/4/2193,989-28-79-26824-4,107022-149
166,1/4/2193,989-28-79-26824-4,107022-150
167,1/4/2193,989-28-79-23023-4,107022-151
168,1/4/2193,989-28-3705-763-7,107022-152
169,1/4/2193,989-28-3705-222-9,107022-153
170,1/4/2193,989-28-79-23015-9,107022-154
171,1/4/2193,989-28-3705-222-9,107022-155
172,1/4/2193,989-28-3705-222-9,107022-156
173,1/4/2193,989-28-79-42728-3,107022-157
174,1/4/2193,989-28-229-7592-2,107022-158
175,1/4/2193,989-28-229-1404-4,107022-159
176,1/4/2193,989-28-229-7592-2,107022-159
177,1/4/2193,989-28-79-55752-2,107022-160
178,1/4/2193,989-28-229-9769-6,107022-160
179,1/4/2193,989-28-79-82197-5,107022-161
180,1/4/2193,989-28-79-26824-4,107022-161
181,1/4/2193,989-28-79-23023-4,107022-161
182,1/4/2193,989-28-3705-007-2,107022-162
183,1/4/2193,989-28-3705-007-2,107022-162
184,1/4/2193,989-28-3705-592-3,107022-162
185,1/4/2193,989-28-3705-007-2,107022-162
186,1/4/2193,989-28-79-82197-5,107049-158
187,1/5/2193,989-28-79-82197-5,107022-177
188,1/5/2193,989-28-3705-007-2,107023-163
189,1/5/2193,989-28-3705-054-6,107023-164
190,1/5/2193,989-28-3705-987-7,107023-165
191,1/5/2193,989-28-3705-966-2,107023-166
192,1/5/2193,989-28-3705-007-2,107023-167
193,1/5/2193,989-28-3705-007-2,107023-168
194,1/5/2193,989-28-3705-987-7,107023-169
195,1/5/2193,989-28-3705-007-2,107023-170
196,1/5/2193,989-28-3705-007-2,107023-171
197,1/5/2193,989-28-3705-987-7,107023-172
198,1/5/2193,989-28-79-45675-7,107023-173
199,1/5/2193,989-28-79-04510-4,107023-174
200,1/5/2193,989-28-79-04510-4,107023-175
201,1/5/2193,989-28-79-82197-5,107023-176
202,1/5/2193,989-28-79-45675-7,107023-178
203,1/5/2193,989-28-79-30536-9,107023-179
204,1/5/2193,989-28-79-45675-7,107023-180
205,1/5/2193,989-28-79-45675-7,107023-181
206,1/5/2193,989-28-79-45675-7,107023-182
207,1/5/2193,989-28-79-27078-0,107023-183
208,1/5/2193,989-28-79-82197-5,107023-184
209,1/5/2193,989-28-79-11297-4,107023-185
210,1/5/2193,989-28-79-45675-7,107023-186
211,1/5/2193,989-28-654-2017-5,107023-187
212,1/5/2193,989-28-79-69807-2,107023-188
213,1/5/2193,989-28-79-82749-6,107023-189
214,1/5/2193,989-28-79-13871-4,107023-190
215,1/5/2193,989-28-79-13871-4,107023-191
216,1/5/2193,989-28-79-69807-2,107023-192
217,1/5/2193,989-28-79-82125-8,107023-193
218,1/5/2193,989-28-79-69807-2,107023-194
219,1/5/2193,989-28-79-69807-2,107023-195
220,1/5/2193,989-28-79-82125-8,107023-196
221,1/5/2193,989-28-79-69807-2,107023-197
222,1/5/2193,989-28-79-69807-2,107023-198
223,1/5/2193,989-28-79-13871-4,107023-199
224,1/5/2193,989-28-79-13871-4,107023-200
225,1/5/2193,989-28-79-13871-4,107023-201
226,1/5/2193,989-28-79-69807-2,107023-202
227,1/5/2193,989-28-79-13871-4,107023-203
228,1/5/2193,989-28-79-69807-2,107023-204
229,1/5/2193,989-28-79-82125-8,107023-205
230,1/5/2193,989-28-79-69807-2,107023-206
231,1/5/2193,989-28-79-69807-2,107023-207
232,1/5/2193,989-28-79-69807-2,107023-208
233,1/5/2193,989-28-79-13871-4,107023-209
234,1/5/2193,989-28-654-2620-7,107023-210
235,1/5/2193,989-28-229-6632-6,107023-211
236,1/5/2193,989-28-229-6632-6,107023-212
237,1/5/2193,989-28-229-5891-8,107023-213
238,1/5/2193,989-28-229-7592-2,107023-214
239,1/5/2193,989-28-229-7592-2,107023-215
240,1/5/2193,989-28-229-0197-6,107023-216
241,1/5/2193,989-28-229-6632-6,107023-217
242,1/5/2193,989-28-229-6632-6,107023-218
243,1/5/2193,989-28-79-68089-3,107023-219
244,1/5/2193,989-28-79-74374-1,107023-220
245,1/5/2193,989-28-79-13801-1,107023-221
246,1/5/2193,989-28-79-23023-4,107023-222
247,1/5/2193,989-28-79-13801-1,107023-223
248,1/5/2193,989-28-79-71565-6,107023-225
249,1/5/2193,989-28-79-26824-4,107023-226
250,1/5/2193,989-28-79-74374-1,107023-227
251,1/5/2193,989-28-79-26824-4,107023-228
252,1/5/2193,989-28-79-23023-4,107023-229
253,1/5/2193,989-28-79-55752-2,107023-230
254,1/5/2193,989-28-79-16533-8,107023-231
255,1/5/2193,989-28-79-23023-4,107023-232
256,1/5/2193,989-28-79-74374-1,107023-233
257,1/5/2193,989-28-79-91028-0,107023-234
258,1/5/2193,989-28-79-26824-4,107023-235
259,1/5/2193,989-28-79-74374-1,107023-236
260,1/5/2193,989-28-79-13801-1,107023-237
261,1/5/2193,989-28-79-26824-4,107023-238
262,1/5/2193,989-28-79-74374-1,107023-239
263,1/5/2193,989-28-79-74374-1,107023-241
264,1/5/2193,989-28-79-40897-8,107023-242
265,1/5/2193,989-28-79-23023-4,107023-243
266,1/5/2193,989-28-79-13801-1,107023-244
267,1/5/2193,989-28-79-23023-4,107023-245
268,1/5/2193,989-28-79-23023-4,107023-246
269,1/5/2193,989-28-79-23023-4,107023-247
270,1/5/2193,989-28-79-74374-1,107023-248
271,1/5/2193,989-28-79-13801-1,107023-249
272,1/5/2193,989-28-79-55824-6,107023-250
273,1/5/2193,989-28-79-51397-9,107023-251
274,1/5/2193,989-28-79-74374-1,107023-252
275,1/5/2193,989-28-79-23023-4,107023-253
276,1/5/2193,989-28-79-40897-8,107023-254
277,1/5/2193,989-28-79-23023-4,107023-255
278,1/5/2193,989-28-79-74374-1,107023-256
279,1/5/2193,989-28-79-44730-4,107023-257
280,1/5/2193,989-28-3705-492-6,107023-258
281,1/5/2193,989-28-3705-222-9,107023-259
282,1/5/2193,989-28-3705-222-9,107023-260
283,1/5/2193,989-28-3705-222-9,107023-261
284,1/5/2193,989-28-3705-222-9,107023-262
285,1/5/2193,989-28-3705-222-9,107023-263
286,1/5/2193,989-28-79-14379-4,107023-264
287,1/5/2193,989-28-3705-222-9,107023-265
288,1/5/2193,989-28-79-03683-6,107023-266
289,1/5/2193,989-28-3705-222-9,107023-267
290,1/5/2193,989-28-3705-222-9,107023-268
291,1/5/2193,989-28-3705-492-6,107023-269
292,1/5/2193,989-28-3705-583-1,107023-270
293,1/5/2193,989-28-3705-152-9,107023-270
294,1/5/2193,989-28-3705-987-7,107023-270
295,1/5/2193,989-28-79-82197-5,107023-271
296,1/5/2193,989-28-79-11297-4,107023-271
297,1/5/2193,989-28-79-91028-0,107023-271
298,1/5/2193,989-28-79-13871-4,107023-272
299,1/5/2193,989-28-79-69807-2,107023-272
300,1/5/2193,989-28-229-5891-8,107023-273
301,1/5/2193,989-28-79-21991-8,107023-273
302,1/5/2193,989-28-79-45675-7,107023-273
303,1/5/2193,989-28-3705-222-9,107023-273
304,1/5/2193,989-28-3705-222-9,107023-274
305,1/5/2193,989-28-79-82749-6,107023-274
306,1/5/2193,989-28-79-82125-8,107023-274
307,1/5/2193,989-28-79-71565-6,107023-275
308,1/5/2193,989-28-79-13871-4,107023-275
309,1/5/2193,989-28-79-13801-1,107023-276
310,1/5/2193,989-28-79-40897-8,107023-276
311,1/5/2193,989-28-79-23023-4,107023-277
312,1/5/2193,989-28-79-13801-1,107023-277
313,1/5/2193,989-28-79-74374-1,107023-278
314,1/5/2193,989-28-229-1404-4,107023-278
315,1/5/2193,989-28-229-7592-2,107023-279
316,1/5/2193,989-28-79-74374-1,107023-279
317,1/5/2193,989-28-79-13871-4,107023-280
318,1/5/2193,989-28-3705-987-7,107023-280
319,1/5/2193,989-28-3705-492-6,107023-281
320,1/5/2193,989-28-79-16826-1,107023-281
321,1/6/2193,989-28-79-82197-5,107023-296
322,1/6/2193,989-28-3705-583-1,107024-282
323,1/6/2193,989-28-3705-007-2,107024-283
324,1/6/2193,989-28-3705-007-2,107024-284
325,1/6/2193,989-28-3705-007-2,107024-285
326,1/6/2193,989-28-3705-583-1,107024-286
327,1/6/2193,989-28-3705-583-1,107024-287
328,1/6/2193,989-28-3705-987-7,107024-288
329,1/6/2193,989-28-3705-987-7,107024-289
330,1/6/2193,989-28-3705-966-2,107024-290
331,1/6/2193,989-28-3705-007-2,107024-291
332,1/6/2193,989-28-3705-007-2,107024-292
333,1/6/2193,989-28-79-45675-7,107024-293
334,1/6/2193,989-28-79-86624-2,107024-294
335,1/6/2193,989-28-79-70597-8,107024-295
336,1/6/2193,989-28-79-45675-7,107024-297
337,1/6/2193,989-28-79-13871-4,107024-298
338,1/6/2193,989-28-79-05670-4,107024-299
339,1/6/2193,989-28-79-69807-2,107024-300
340,1/6/2193,989-28-79-82749-6,107024-301
341,1/6/2193,989-28-79-13871-4,107024-302
342,1/6/2193,989-28-79-69807-2,107024-303
343,1/6/2193,989-28-79-13871-4,107024-304
344,1/6/2193,989-28-79-13871-4,107024-305
345,1/6/2193,989-28-79-82749-6,107024-306
346,1/6/2193,989-28-229-3157-7,107024-307
347,1/6/2193,989-28-229-1404-4,107024-308
348,1/6/2193,989-28-229-9769-6,107024-309
349,1/6/2193,989-28-229-1404-4,107024-310
350,1/6/2193,989-28-229-7592-2,107024-311
351,1/6/2193,989-28-229-1404-4,107024-312
352,1/6/2193,989-28-229-6632-6,107024-313
353,1/6/2193,989-28-229-6632-6,107024-314
354,1/6/2193,989-28-229-9769-6,107024-315
355,1/6/2193,989-28-229-9769-6,107024-316
356,1/6/2193,989-28-229-7592-2,107024-317
357,1/6/2193,989-28-229-7592-2,107024-318
358,1/6/2193,989-28-229-6632-6,107024-319
359,1/6/2193,989-28-229-7592-2,107024-320
360,1/6/2193,989-28-79-40897-8,107024-321
361,1/6/2193,989-28-79-13801-1,107024-322
362,1/6/2193,989-28-79-23023-4,107024-323
363,1/6/2193,989-28-79-40897-8,107024-324
364,1/6/2193,989-28-79-23023-4,107024-325
365,1/6/2193,989-28-79-23023-4,107024-326
366,1/6/2193,989-28-79-40897-8,107024-327
367,1/6/2193,989-28-79-13801-1,107024-328
368,1/6/2193,989-28-79-74374-1,107024-329
369,1/6/2193,989-28-79-26824-4,107024-330
370,1/6/2193,989-28-79-23023-4,107024-331
371,1/6/2193,989-28-79-74374-1,107024-332
372,1/6/2193,989-28-79-55752-2,107024-333
373,1/6/2193,989-28-79-23023-4,107024-334
374,1/6/2193,989-28-79-13801-1,107024-335
375,1/6/2193,989-28-79-13801-1,107024-336
376,1/6/2193,989-28-79-23023-4,107024-337
377,1/6/2193,989-28-79-23023-4,107024-338
378,1/6/2193,989-28-79-40897-8,107024-339
379,1/6/2193,989-28-79-13801-1,107024-340
380,1/6/2193,989-28-79-74374-1,107024-341
381,1/6/2193,989-28-79-74374-1,107024-342
382,1/6/2193,989-28-79-68089-3,107024-343
383,1/6/2193,989-28-79-71565-6,107024-344
384,1/6/2193,989-28-79-13801-1,107024-345
385,1/6/2193,989-28-79-23023-4,107024-346
386,1/6/2193,989-28-79-74374-1,107024-347
387,1/6/2193,989-28-79-91028-0,107024-348
388,1/6/2193,989-28-79-23023-4,107024-349
389,1/6/2193,989-28-79-23023-4,107024-350
390,1/6/2193,989-28-79-68089-3,107024-351
391,1/6/2193,989-28-79-23023-4,107024-352
392,1/6/2193,989-28-79-26824-4,107024-353
393,1/6/2193,989-28-79-26824-4,107024-354
394,1/6/2193,989-28-79-13801-1,107024-355
395,1/6/2193,989-28-79-91028-0,107024-356
396,1/6/2193,989-28-79-74374-1,107024-357
397,1/6/2193,989-28-79-91028-0,107024-358
398,1/6/2193,989-28-79-26824-4,107024-359
399,1/6/2193,989-28-79-68089-3,107024-360
400,1/6/2193,989-28-79-51397-9,107024-361
401,1/6/2193,989-28-79-43574-5,107024-362
402,1/6/2193,989-28-79-43574-5,107024-363
403,1/6/2193,989-28-79-40897-8,107024-364
404,1/6/2193,989-28-3705-222-9,107024-365
405,1/6/2193,989-28-3705-492-6,107024-366
406,1/6/2193,989-28-3705-492-6,107024-367
407,1/6/2193,989-28-3705-222-9,107024-368
408,1/6/2193,989-28-3705-222-9,107024-369
409,1/6/2193,989-28-3705-222-9,107024-370
410,1/6/2193,989-28-229-6632-6,107024-371
411,1/6/2193,989-28-79-23023-4,107024-372
412,1/6/2193,989-28-79-74374-1,107024-372
413,1/6/2193,989-28-79-45675-7,107024-372
414,1/6/2193,989-28-79-13801-1,107024-372
415,1/6/2193,989-28-79-22871-2,107024-373
416,1/6/2193,989-28-3705-007-2,107024-373
417,1/6/2193,989-28-79-27078-0,107024-373
418,1/6/2193,989-28-79-45675-7,107024-374
419,1/6/2193,989-28-654-2017-5,107024-374
420,1/6/2193,989-28-79-21991-8,107024-374
421,1/6/2193,989-28-229-6632-6,107024-375
422,1/6/2193,989-28-79-23023-4,107024-375
423,1/6/2193,989-28-3705-583-1,107024-376
424,1/6/2193,989-28-3705-492-6,107024-376
425,1/6/2193,989-28-3705-222-9,107024-377
426,1/6/2193,989-28-3705-492-6,107024-377
427,1/6/2193,989-28-654-2017-5,107024-378
428,1/6/2193,989-28-79-26824-4,107024-378
429,1/6/2193,989-28-79-13801-1,107024-378
430,1/6/2193,989-28-79-26824-4,107024-379
431,1/6/2193,989-28-229-9769-6,107024-379
432,1/6/2193,989-28-79-11297-4,107024-380
433,1/6/2193,989-28-79-13801-1,107024-380
434,1/6/2193,989-28-79-71565-6,107024-381
435,1/6/2193,989-28-79-23023-4,107024-381
436,1/6/2193,989-28-79-71565-6,107024-382
437,1/6/2193,989-28-79-23023-4,107024-382
438,1/6/2193,989-28-79-74374-1,107024-383
439,1/6/2193,989-28-229-1404-4,107024-383
440,1/6/2193,989-28-229-7592-2,107024-384
441,1/6/2193,989-28-229-1404-4,107024-384
442,1/7/2193,989-28-3705-987-7,107025-385
443,1/7/2193,989-28-3705-007-2,107025-386
444,1/7/2193,989-28-3705-007-2,107025-387
445,1/7/2193,989-28-3705-007-2,107025-388
446,1/7/2193,989-28-3705-007-2,107025-389
447,1/7/2193,989-28-3705-007-2,107025-390
448,1/7/2193,989-28-3705-987-7,107025-391
449,1/7/2193,989-28-3705-007-2,107025-392
450,1/7/2193,989-28-79-30536-9,107025-393
451,1/7/2193,989-28-79-05638-4,107025-394
452,1/7/2193,989-28-79-82197-5,107025-395
453,1/7/2193,989-28-79-42728-3,107025-396
454,1/7/2193,989-28-79-45675-7,107025-397
455,1/7/2193,989-28-79-45675-7,107025-398
456,1/7/2193,989-28-79-11297-4,107025-399
457,1/7/2193,989-28-79-45675-7,107025-400
458,1/7/2193,989-28-79-69807-2,107025-401
459,1/7/2193,989-28-79-13871-4,107025-402
460,1/7/2193,989-28-79-05670-4,107025-403
461,1/7/2193,989-28-79-05670-4,107025-404
462,1/7/2193,989-28-79-13871-4,107025-405
463,1/7/2193,989-28-79-13871-4,107025-406
464,1/7/2193,989-28-654-3988-7,107025-407
465,1/7/2193,989-28-229-5891-8,107025-408
466,1/7/2193,989-28-229-9769-6,107025-409
467,1/7/2193,989-28-79-23023-4,107025-410
468,1/7/2193,989-28-79-40897-8,107025-411
469,1/7/2193,989-28-79-13801-1,107025-412
470,1/7/2193,989-28-79-74374-1,107025-413
471,1/7/2193,989-28-79-74374-1,107025-414
472,1/7/2193,989-28-79-71565-6,107025-415
473,1/7/2193,989-28-79-68089-3,107025-416
474,1/7/2193,989-28-79-68089-3,107025-417
475,1/7/2193,989-28-79-13801-1,107025-418
476,1/7/2193,989-28-79-71565-6,107025-419
477,1/7/2193,989-28-79-13801-1,107025-420
478,1/7/2193,989-28-79-03683-6,107025-422
479,1/7/2193,989-28-3705-222-9,107025-423
480,1/7/2193,989-28-3705-222-9,107025-424
481,1/7/2193,989-28-3705-222-9,107025-425
482,1/7/2193,989-28-229-7592-2,107025-426
483,1/7/2193,989-28-79-13871-4,107025-427
484,1/7/2193,989-28-79-91028-0,107025-428
485,1/7/2193,989-28-3705-007-2,107025-428
486,1/7/2193,989-28-79-22871-2,107025-428
487,1/7/2193,989-28-3705-649-4,107025-429
488,1/7/2193,989-28-3705-583-1,107025-429
489,1/7/2193,989-28-3705-222-9,107025-430
490,1/7/2193,989-28-3705-649-4,107025-430
491,1/7/2193,989-28-79-13801-1,107025-431
492,1/7/2193,989-28-79-23023-4,107025-431
493,1/7/2193,989-28-79-69807-2,107025-432
494,1/7/2193,989-28-79-13801-1,107025-432
495,1/7/2193,989-28-79-45675-7,107025-433
496,1/7/2193,989-28-79-91028-0,107025-433
497,1/7/2193,989-28-79-68089-3,107025-434
498,1/7/2193,989-28-654-0127-3,107025-434
499,1/7/2193,989-28-229-6632-6,107025-435
500,1/7/2193,989-28-229-0197-6,107025-435
501,1/7/2193,989-28-229-7592-2,107025-435
502,1/8/2193,989-28-79-82197-5,107024-444
503,1/8/2193,989-28-3705-007-2,107026-436
504,1/8/2193,989-28-3705-007-2,107026-437
505,1/8/2193,989-28-3705-007-2,107026-438
506,1/8/2193,989-28-79-86624-2,107026-439
507,1/8/2193,989-28-79-22871-2,107026-440
508,1/8/2193,989-28-79-27078-0,107026-441
509,1/8/2193,989-28-79-61125-5,107026-442
510,1/8/2193,989-28-79-01991-4,107026-443
511,1/8/2193,989-28-79-22871-2,107026-445
512,1/8/2193,989-28-79-69807-2,107026-446
513,1/8/2193,989-28-79-13871-4,107026-447
514,1/8/2193,989-28-79-69807-2,107026-448
515,1/8/2193,989-28-79-69807-2,107026-449
516,1/8/2193,989-28-79-69807-2,107026-450
517,1/8/2193,989-28-79-69807-2,107026-451
518,1/8/2193,989-28-79-69807-2,107026-452
519,1/8/2193,989-28-79-13871-4,107026-453
520,1/8/2193,989-28-79-69807-2,107026-454
521,1/8/2193,989-28-79-69807-2,107026-455
522,1/8/2193,989-28-654-0047-4,107026-456
523,1/8/2193,989-28-229-5891-8,107026-457
524,1/8/2193,989-28-229-6632-6,107026-458
525,1/8/2193,989-28-229-6632-6,107026-459
526,1/8/2193,989-28-79-23023-4,107026-460
527,1/8/2193,989-28-79-74374-1,107026-461
528,1/8/2193,989-28-79-23023-4,107026-462
529,1/8/2193,989-28-79-23023-4,107026-463
530,1/8/2193,989-28-79-23023-4,107026-464
531,1/8/2193,989-28-79-13801-1,107026-465
532,1/8/2193,989-28-79-13801-1,107026-466
533,1/8/2193,989-28-79-40897-8,107026-467
534,1/8/2193,989-28-79-13801-1,107026-468
535,1/8/2193,989-28-79-23023-4,107026-469
536,1/8/2193,989-28-79-74374-1,107026-470
537,1/8/2193,989-28-79-68089-3,107026-471
538,1/8/2193,989-28-79-91028-0,107026-472
539,1/8/2193,989-28-79-74374-1,107026-473
540,1/8/2193,989-28-79-23023-4,107026-475
541,1/8/2193,989-28-3705-492-6,107026-476
542,1/8/2193,989-28-3705-492-6,107026-477
543,1/8/2193,989-28-79-03683-6,107026-478
544,1/8/2193,989-28-79-03683-6,107026-479
545,1/8/2193,989-28-79-26824-4,107026-480
546,1/8/2193,989-28-79-13801-1,107026-480
547,1/8/2193,989-28-79-13871-4,107026-480
548,1/8/2193,989-28-3705-987-7,107026-481
549,1/8/2193,989-28-3705-007-2,107026-481
550,1/8/2193,989-28-79-13801-1,107026-482
551,1/8/2193,989-28-79-13871-4,107026-482
552,1/8/2193,989-28-79-82197-5,107026-483
553,1/8/2193,989-28-79-05670-4,107026-483
554,1/8/2193,989-28-79-13801-1,107026-483
555,1/8/2193,989-28-3705-007-2,107026-484
556,1/8/2193,989-28-654-2620-7,107026-484
557,1/8/2193,989-28-79-13801-1,107026-485
558,1/8/2193,989-28-229-1404-4,107026-485
